Wavenumber (cm^-1)	Intensity profile for Laser = Block Engineering LaserTune LT-OEM [Q0252] - Block Engineering LaserTune LT-OEM [Q0252]: PiF (V)
770	1.57964712143426e-5
771	2.54179992917088e-5
772	1.71260188344231e-5
773	2.63455206212327e-5
774	1.2643500980539e-5
775	3.25219694746531e-5
776	2.48142069976519e-5
777	1.64544693003847e-5
778	2.26369410195812e-5
779	1.50119929470018e-5
780	1.59334914107495e-5
781	1.93002733796057e-5
782	1.9920628554547e-5
783	2.8132806040299e-5
784	1.73940363614608e-5
785	2.20120686953078e-5
786	4.35965139205104e-5
787	1.31464102728458e-5
788	2.14519421781278e-5
789	1.84706236189439e-5
790	2.6502115131412e-5
791	2.84068464331129e-5
792	4.91631476140977e-5
793	1.91933675120794e-5
794	2.77202397346341e-5
795	3.39539058129277e-5
796	2.5938977181344e-5
797	3.67936870263726e-5
798	2.41908403898225e-5
799	2.27799840817643e-5
800	2.28853842328465e-5
801	3.44357350750181e-5
802	2.38505484734712e-5
803	4.49411187050313e-5
804	4.34519651418833e-5
805	4.09976473381107e-5
806	3.02588776592725e-5
807	4.50329674081172e-5
808	4.25169152301393e-5
809	4.32562220041591e-5
810	5.39272344430159e-5
811	4.81407661485998e-5
812	5.20044345439866e-5
813	4.23844121830645e-5
814	5.94923624201591e-5
815	6.4012523185144e-5
816	4.36296396822791e-5
817	4.95696910539865e-5
818	5.02698492004615e-5
819	5.88644786629977e-5
820	4.54184308177895e-5
821	6.57516256780013e-5
822	5.03376064404429e-5
823	5.89909588442964e-5
824	5.30042302628241e-5
825	5.43503407637889e-5
826	6.53962765972097e-5
827	6.63117521951813e-5
828	6.35848997150388e-5
829	5.88223186025648e-5
830	6.81743234364492e-5
831	4.8333497853436e-5
832	7.17503999910259e-5
833	5.14668937734671e-5
834	6.44145494757006e-5
835	7.53159365304943e-5
836	6.99585974226275e-5
837	6.7698517040135e-5
838	8.09051559707421e-5
839	7.90757104912429e-5
840	6.13564393778711e-5
841	7.82957493732342e-5
842	9.15716512602667e-5
843	7.74073766712551e-5
844	9.84693382903785e-5
845	8.36621227797652e-5
846	8.80422519154551e-5
847	9.43768009954988e-5
848	8.91173334564941e-5
849	8.69611475086399e-5
850	1.05019204821919e-4
851	8.90586105151768e-5
852	9.638994388117e-5
853	9.29538989558883e-5
854	8.31260877256897e-5
855	9.59879175906134e-5
856	7.60687947525104e-5
857	9.21393063596669e-5
858	1.00062386288165e-4
859	9.48194816300443e-5
860	1.10247052315599e-4
861	9.321589361715e-5
862	1.04529846977608e-4
863	1.10054320610763e-4
864	1.14140835039866e-4
865	1.13109419275704e-4
866	1.07428351132371e-4
867	1.30872356165953e-4
868	1.13308173846317e-4
869	1.09150890744343e-4
870	1.21232759491258e-4
871	1.12790207389569e-4
872	1.16218723732631e-4
873	1.31881186183455e-4
874	1.17126670748382e-4
875	1.11733194445859e-4
876	1.15995877698914e-4
877	1.00911610362599e-4
878	9.30487590918624e-5
879	1.15633000035902e-4
880	8.75513883547005e-5
881	9.06621985280712e-5
882	1.06375855337992e-4
883	9.59502746795125e-5
884	8.92091821595801e-5
885	1.13631902881784e-4
886	1.04192566494145e-4
887	1.36285406782249e-4
888	1.2868304445633e-4
889	1.38414489834111e-4
890	1.23196213734277e-4
891	1.33145987996442e-4
892	1.17537731337603e-4
893	1.145865271073e-4
894	1.3046430700962e-4
895	1.25019636348e-4
896	1.36148386585842e-4
897	1.30014097792855e-4
898	1.22983907715668e-4
899	1.42347421185923e-4
900	1.3771583740408e-4
901	1.18269509529403e-4
902	1.33746768857611e-4
