Wavenumber (cm^-1)	Intensity profile for Laser = Block Engineering LaserTune LT-OEM [Q0252] - Block Engineering LaserTune LT-OEM [Q0252]: PiF (V)
1405	1.07615059971431e-4
1406	1.02376672462642e-4
1407	1.04294955212339e-4
1408	1.10507541260417e-4
1409	8.99424660678238e-5
1410	9.00855091300069e-5
1411	9.79348089527471e-5
1412	9.25819869942124e-5
1413	9.76201142159444e-5
1414	1.03767954456928e-4
1415	8.98039401549728e-5
1416	8.97527457958757e-5
1417	6.8163783421341e-5
1418	5.93794336868567e-5
1419	8.27601986297898e-5
1420	9.46704157020851e-5
1421	1.0255133557015e-4
1422	8.66329013238408e-5
1423	7.33298965408157e-5
1424	9.15731569767107e-5
1425	1.01279005174943e-4
1426	9.43180780541816e-5
1427	1.05948231867887e-4
1428	1.20282652415074e-4
1429	8.92739279666735e-5
1430	1.11301053826422e-4
1431	9.92447822590552e-5
1432	1.04912298954393e-4
1433	1.10421715423107e-4
1434	1.15770020232309e-4
1435	7.06542384197704e-5
1436	6.61220319232332e-5
1437	8.38142001406124e-5
1438	9.90415105391108e-5
1439	1.02739550125654e-4
1440	1.41181996658242e-4
1441	1.19961934812495e-4
1442	1.26663878704883e-4
1443	1.2869810162077e-4
1444	1.08694658661802e-4
1445	1.17491054127838e-4
1446	1.25578257148736e-4
1447	1.03673094320954e-4
1448	1.32560264299713e-4
1449	1.44612018717748e-4
1450	1.2188322899508e-4
1451	1.39573891496016e-4
1452	1.17466962664734e-4
1453	1.31787831763925e-4
1454	1.28720687367431e-4
1455	1.18817590315031e-4
1456	8.62971265568217e-5
1457	1.11862686060046e-4
1458	1.00205429350348e-4
1459	1.55627840222288e-4
1460	1.45235385325577e-4
1461	1.42424212724569e-4
1462	1.79120028182079e-4
1463	1.47082899402405e-4
1464	1.53536400081527e-4
1465	1.66523204411305e-4
1466	1.73606094564033e-4
1467	1.59604437350977e-4
1468	1.70310081268046e-4
1469	1.72580701665647e-4
1470	1.78050969506816e-4
1471	1.14928324740095e-4
1472	1.24923270495582e-4
1473	1.44371104086702e-4
1474	1.68640241731615e-4
1475	1.56514707207823e-4
1476	1.75153971068498e-4
1477	1.92448630144653e-4
1478	1.98203478393744e-4
1479	1.82045635232834e-4
1480	2.05295402845136e-4
1481	2.1407975257962e-4
1482	2.04450695920034e-4
1483	2.10286852857103e-4
1484	2.06837256483825e-4
1485	2.0297810523777e-4
1486	1.70383861373804e-4
1487	1.86147206826378e-4
1488	1.75443068625752e-4
1489	1.53300002599814e-4
1490	2.01350425761772e-4
1491	1.98040861017789e-4
1492	2.11273097127944e-4
1493	2.10866553688056e-4
1494	1.87464708714906e-4
1496	1.76444370061034e-4
1497	1.69341905594534e-4
1498	1.76424795747261e-4
1499	1.84885416446279e-4
